codigo-area,area,name,general-direction,type,year,author,latitude,longitude
3,manrique,carlos gardel,carrera 45 con calle 73,escultura,1968,alfonso goez,6.2690139,-75.5547333
3,manrique,jorge eliecer gaitan ayala,carrera 37 con calle 69,escultura,2004,rodolfo montoya,6.2653125,-75.5483354
4,aranjuez,talentos en libertad,carrera 48 con calle 93,escultura,2003,luz maria piedrahita,6.285199,-75.5563078
4,aranjuez,antonio nariño,carrera 50 con calle 90,escultura,1962,alfonso goez,6.282458,-75.5611601
4,aranjuez,cristo,carrera 50 con calle 90,escultura,1983,josue giraldo,6.2823576,-75.5611554
4,aranjuez,signo homenaje,carrera 52 con calle 73,escultura abstracta,2009,manuel hernandez,6.2698778,-75.5652648
4,aranjuez,la equidad,carrera 51 con calle 73,escultura,2006,olga ines arango,6.2681567,-75.5621492
5,castilla,monumento a la paz,calle 90 con carrera 65,escultura,1994,pablo echavarria - clara lopez,6.2840658,-75.5714693
5,castilla,el arbol de la vida - cordoba,autopista norte con calle 89,escultura,1997,jose augusto rivera castro,6.278505,-75.5727312
6,doce de octubre,perennidad,carrera 83 con calle 106a,escultura abstracta,1997,guillermo villegas mejia,6.308003,-75.5835469
7,robledo,el arbol de la vida - altamira,carrera 80 con calle 80,escultura,1997,fanor hernandez ordoñez,6.2840834,-75.5837281
7,robledo,jorge robledo - parque de robledo,calle 65 con carrera 86,busto,1946,octavio montoya,6.2759085,-75.5964233
8,villa hermosa,carlos vasquez latorre,carrera 39a con calle 66,busto,1966,alfonso goez,6.2586502,-75.5514605
8,villa hermosa,monumento a el obrero,carrera 39 con calle 58,escultura,1934,bernardo vieco,6.2516695,-75.5566085
8,villa hermosa,a la familia,carrera 39 con calle 58,escultura,1934,cesar villa villa,6.2515062,-75.5567212
9,buenos aires,monumento al salvador,"calle 40b, cerro el salvador",escultura,1917,sigmone y cia de ped buraglia,6.2402482,-75.5622068
9,buenos aires,trampolin 1 y 2,calle 42 con carrera 30,escultura abstracta,1997,salvador arango,6.2351654,-75.5549213
11,laureles-estadio,m-cromo interferencua,carrera 64b con calle 52,escultura abstracta,1985,carlos cruz diez,6.2566667,-75.5786133
11,laureles-estadio,el hincha,carrera 70 con calle 50,escultura,1994,autor desconocido,6.2576498,-75.586548
11,laureles-estadio,atanasio girardot,calle 48 #73-10,busto,1954,jose horacio betancur,6.2562972,-75.5909962
11,laureles-estadio,el deporte,carrera 70 con calle 47,escultura,2003,fanor hernandez ordoñez,6.2535666,-75.5878189
11,laureles-estadio,rayuela,calle san juan con avenida bolivariana,escultura abstracta,1997,grupo utopia,6.2473068,-75.5816275
11,laureles-estadio,agora,avenida bolivariana con carrera 65,escultura abstracta,1997,ronny vayda,6.2454511,-75.5843131
11,laureles-estadio,homenaje a giordano bruno,avenida bolivariana con circular 3,busto,1997,rodrigo arenas betancourt,6.2442919,-75.5853698
12,la america,fantasmas de medellin,carrera 81 con calle 47d,escultura,1997,german londoño,6.2592003,-75.5985012
12,la america,formas,carrera 92 con calle 35,escultura abstracta,1997,francisco matto,6.2484739,-75.6156531
14,poblado,ofrenda de paz,variante las palmas,escultura,2003,lucy correa,6.1952264,-75.5476858
14,poblado,el aladino,variante las palmas,escultura,2003,cristobal gaviria,6.1898113,-75.547708
14,poblado,el genio,variante las palmas,escultura,2003,cristobal gaviria,6.1896533,-75.5475017
14,poblado,la poda,carretera el tesoro y loma de los balsos,escultura,1997,bernardo salcedo,6.1852017,-75.5529072
14,poblado,homenaje al primer poblado,carrera 43 con calle 10,escultura,1997,luz maria piedrahita,6.2103029,-75.5709293
15,guayabal,homenaje al tango,calle 16 con carrera 65,escultura,2013,estela trebino y alejandro coria,6.2198891,-75.5861943
15,guayabal,horizontes,calle 1 sur con carrera 53,escultura abstracta,1997,john castles,6.2077191,-75.5864245
60,san cristobal,homenaje al arriero,carrera 130 con calle 62,escultura,2008,gabriel jaime velez,6.2775974,-75.6354579
60,san cristobal,cristo prometeo,carrera 130 con calle 61,escultura,2003,rodrigo arenas betancourt,6.277297,-75.6352494
60,san cristobal,el gato,carrera 130 con calle 62,escultura,2010,fernando botero,6.2778137,-75.6368428
90,santa elena,santa elena de arvi,parque arvi,escultura,2006,juan carlos velasquez rua,6.2623776,-75.4944449
90,santa elena,flautista media luna,carrera 10 con calle 62,escultura,1994,rodrigo arenas betancourt,6.2072823,-75.4921489
90,santa elena,pajaro 2,parque principal corregimiento de santa elena,escultura,2006,ruben,6.2093086,-75.4979968
90,santa elena,eterna primavera,parque principal corregimiento de santa elena,escultura,1997,luz maria piedrahita,6.2094169,-75.4979225
90,santa elena,la familia silletera,carrera 130 con calle 62,escultura,1997,luz maria piedrahita,6.2097018,-75.4980629
90,santa elena,pajaro 1,parque principal corregimiento de santa elena,escultura,2006,ruben,6.2098387,-75.4979418
16,belen,la medicina y la salud,"clinica de las americas, avenida 80",fuente,1997,rodrigo arenas betancourt,6.2140214,-75.5964333
16,belen,homenaje a carlos gardel,plazoleta aeropuerto olaya herrera,escultura,2003,salvador arango,6.2174266,-75.5873885
16,belen,signo para medellin,carrera 70 con calle 11,escultura abstracta,1997,otto herbert hajek,6.2213313,-75.5920541
16,belen,simon bolivar - parque de belen,calle 30a con carrera 76,busto,1930,josue giraldo,6.2325261,-75.5966868
16,belen,venus fragmentandose en medellin con platanillos,calle 30 con carrera 83,escultura,1997,marta minujin,6.2306571,-75.6074613
16,belen,andres escobar,calle 30 con carrera 66b,busto,2012,carlos mario velez,6.2346168,-75.5882721
16,belen,andres escobar,carrera 66b con calle 32,escultura,2000,alejandro hernandez,6.2345715,-75.5873459
16,belen,signo aleteando el espacio,cerro nutibara,escultura abstracta,1988,otto herbert hajek,6.237278,-75.5816109
16,belen,torre,cerro nutibara,escultura abstracta,1983,edgar negret,6.2369212,-75.5805088
16,belen,estructura cromovegetal,cerro nutibara,escultura abstracta,1983,carlos cruz diez,6.2365989,-75.58114
16,belen,sin titulo,cerro nutibara,escultura abstracta,1983,carlos rojas,6.2362063,-75.5819436
16,belen,porticos,cerro nutibara,escultura abstracta,1983,alberto uribe duque,6.2362363,-75.5806004
16,belen,guillermo zuluaga - montecristo,cerro nutibara,escultura,2000,luz maria piedrahita,6.2359819,-75.580368
16,belen,tomas carrasquilla,cerro nutibara,busto,1978,gustavo lopez,6.2362604,-75.5804074
16,belen,cacique nutibara - cerro nutibara,cerro nutibara,escultura,1955,jose horacio betancur,6.2362467,-75.580061
16,belen,construccion,cerro nutibara,escultura abstracta,1983,manuel felguerez,6.2369086,-75.5803889
16,belen,construccion,cerro nutibara,escultura abstracta,1983,john castles,6.2368521,-75.579803
16,belen,sin titulo,cerro nutibara,escultura abstracta,1983,sergio de camargo,6.2369675,-75.5798134
16,belen,sin titulo,cerro nutibara,escultura abstracta,1983,julio le parc,6.2371969,-75.5800858
16,belen,gilberto alzate avendaño,carrera 81 con calle 33,busto,1978,gustavo lopez,6.238776,-75.6033144
10,la candelaria,el arriero,calle 33 con avenida ferrocarril,escultura,1975,oscar rojas,6.2393866,-75.5760632
10,la candelaria,el mecanico,calle 45 con carrera 59,escultura,1997,justo arosemana,6.2483312,-75.5770373
10,la candelaria,general francisco antonio zea,calle 53 con carrera 54,escultura,1952,marco tobon mejia,6.2539783,-75.5711301
10,la candelaria,gustavo rojas pinilla,calle 54 con carrera 53,busto,2012,jose horacio betancur,6.2544255,-75.5692508
10,la candelaria,renacer,calle 42 con carrera 52,escultura,2002,salvador arango,6.2429767,-75.5739809
10,la candelaria,tornamesa,calle 42 con carrera 52,escultura abstracta,1997,ronny vayda,6.2433284,-75.5748641
10,la candelaria,chasera,calle 44 con carrera 52,escultura,2002,olga ines arango,6.243561,-75.5744316
10,la candelaria,el lotero,calle 44 con carrera 52,escultura,2003,olga ines arango,6.2444104,-75.5743962
10,la candelaria,doctor leon arango paucar,separador vial entre la alpujarra y edatel,busto,1991,jorge velez correa,6.2432741,-75.5728329
10,la candelaria,vendedor de prensa,calle 44 con carrera 52,escultura,2002,olga ines arango,6.2443117,-75.5737584
10,la candelaria,el lustrabotas,calle 44 con carrera 52,escultura,2003,olga ines arango,6.2448819,-75.5737264
10,la candelaria,homenaje a guillermo y gilberto,calle 44 con carrera 52,escultura,2004,salvador arango,6.2448841,-75.5729891
10,la candelaria,francisco javier cisneros,calle 44 con carrera 52,escultura,1923,marco tobon mejia,6.2451907,-75.5726457
10,la candelaria,torso masculino,carrera 46 con calle 46,escultura,1994,fernando botero,6.2454549,-75.5684013
10,la candelaria,venus durmiente,carrera 46 con calle 46,escultura,1994,fernando botero,6.2459088,-75.5682871
10,la candelaria,pajaro de la paz,carrera 46 con calle 46,escultura,2000,fernando botero,6.2453894,-75.5683653
10,la candelaria,el pajaro,carrera 46 con calle 46,escultura,1994,fernando botero,6.2455989,-75.5679578
10,la candelaria,puerta de san antonio,carrera 46 con calle 47,escultura abstracta,1994,ronny vayda,6.2463457,-75.5671212
10,la candelaria,rafael uribe uribe,calle 48 con carrera 49,busto,1964,marco tobon mejia,6.2476706,-75.5678466
10,la candelaria,fuente pileta,calle 49 con carrera 46,fuente,1902,francisco antonio cano,6.2474406,-75.5655204
10,la candelaria,marceliano velez,carrera 43 con calle 48,busto,1925,francisco antonio cano,6.2460364,-75.5646747
10,la candelaria,general francisco de paula santander,carrera 43 con calle 48,busto,1940,bernardo vieco,6.2462061,-75.5644158
10,la candelaria,monumento conmemorativo centenario de la UdeA,carrera 43 con calle 48,escultura,1922,jose maria agudelo,6.246427,-75.564617
10,la candelaria,torso femenino,calle 50 con carrera 51,escultura,1990,fernando botero,6.2496293,-75.5683915
10,la candelaria,el desafio de la raza,calle 50 con carrera 50,escultura,1978,rodrigo arenas betancourt,6.2494532,-75.5680325
10,la candelaria,pedro justo berrio - parque berrio,calle 50 con carrera 50,escultura,1893,giovanni anderlini,6.2501033,-75.5679195
10,la candelaria,fuente plaza veracruz,calle 51 con carrera 52,fuente,1853,autor desconocido,6.2510905,-75.5693334
10,la candelaria,mujer,carrera 52 con calle 52,escultura,1990,fernando botero,6.2512817,-75.5691831
10,la candelaria,atanasio girardot,calle 51 con carrera 52,busto,1910,francisco antonio cano,6.25166,-75.5697855
10,la candelaria,caballo con bridas,carrera 52 con calle 52,escultura,1992,fernando botero,6.2517227,-75.5689962
10,la candelaria,hombre a caballo,carrera 52 con calle 52,escultura,1994,fernando botero,6.2518926,-75.5688933
10,la candelaria,hombre caminante,carrera 52 con calle 52,escultura,1999,fernando botero,6.2519916,-75.5688653
10,la candelaria,soldado romano,carrera 52 con calle 52,escultura,1986,fernando botero,6.2520158,-75.5688551
10,la candelaria,venus dormida,carrera 52 con calle 52,escultura,1994,fernando botero,6.2520053,-75.5689386
10,la candelaria,mujer con fruta,carrera 52 con calle 52,escultura,1996,fernando botero,6.2524296,-75.5687325
10,la candelaria,esfinge,carrera 52 con calle 52,escultura,1995,fernando botero,6.2524309,-75.5687406
10,la candelaria,rapto de europa,carrera 52 con calle 52,escultura,1991,fernando botero,6.2524309,-75.5687406
10,la candelaria,mano,carrera 52 con calle 52,escultura,1992,fernando botero,6.252492,-75.5685114
10,la candelaria,gato,carrera 52 con calle 52,escultura,1993,fernando botero,6.2521416,-75.5684023
10,la candelaria,adan,carrera 52 con calle 52,escultura,1990,fernando botero,6.2521279,-75.5683475
10,la candelaria,mujer con espejo,carrera 52 con calle 52,escultura,1987,fernando botero,6.2520842,-75.5682422
10,la candelaria,caballo,carrera 52 con calle 52,escultura,1992,fernando botero,6.2521093,-75.5682339
10,la candelaria,mujer reclinada,carrera 52 con calle 52,escultura,1984,fernando botero,6.2521361,-75.5681146
10,la candelaria,mujer vestida,carrera 52 con calle 52,escultura,1989,fernando botero,6.2521387,-75.5679599
10,la candelaria,hombre vestido,carrera 52 con calle 52,escultura,1989,fernando botero,6.2520083,-75.5678717
10,la candelaria,maternidad,carrera 52 con calle 52,escultura,1995,fernando botero,6.2520971,-75.5678558
10,la candelaria,pensamiento,carrera 52 con calle 52,escultura,1992,fernando botero,6.2519617,-75.5683633
10,la candelaria,perro,carrera 52 con calle 52,escultura,1993,fernando botero,6.2519445,-75.5683365
10,la candelaria,mujer sentada,carrera 52 con calle 52,escultura,1991,fernando botero,6.2519319,-75.5683594
10,la candelaria,cabeza,carrera 52 con calle 52,escultura,1999,fernando botero,6.2520123,-75.5685482
10,la candelaria,el cacique nutibara - plazuela nutibara,carrera 52 con calle 52,fuente,1954,pedro nel gomez,6.2516295,-75.5675201
10,la candelaria,arzobispo manuel jose de cayzedo,calle 57 con carrera 49,escultura,1951,pietro tenerani,6.2546781,-75.5640229
10,la candelaria,tomas cipriano de mosquera,calle 58 con carrera 48,busto,1978,pietro tenerani,6.2551715,-75.5631656
10,la candelaria,jose de san martin,calle 58 con carrera 47,busto,1950,orlando stagnaro,6.2546308,-75.5620042
10,la candelaria,juan antonio mon y velarde - villanueva,calle 57 con carrera 49,busto,1957,octavio montoya,6.2542697,-75.563362
10,la candelaria,simon bolivar - parque de bolivar,calle 54 con carrera 48,escultura,1923,giovanni anderlini. eugenio maccagnani y agustin goovaerts,6.2530013,-75.5645524
10,la candelaria,placa mister james tyrrel moore,calle 54 con carrera 48,placa,1942,jose marin vieco,6.2528237,-75.5645223
10,la candelaria,los niños de villatina,carrera 43 con calle 43,escultura,2003,edgar gamboa velasquez,6.2492543,-75.561964
10,la candelaria,manuel del socorro rodriguez,carrera 43 con calle 43,busto,1971,john jairo rendon,6.2493983,-75.5618537
10,la candelaria,rosita turizo de trujillo,avenida la playa,busto,2006,olga ines arango,6.2490088,-75.564166
10,la candelaria,maria cano,avenida la playa,busto,2006,jorge velez correa,6.2490088,-75.564166
10,la candelaria,luzmila acosta de ochoa,avenida la playa,busto,2006,martha cecilia perez lozano,6.2490088,-75.564166
10,la candelaria,guillermo cano,avenida la playa,busto,1987,rodrigo arenas betancourt,6.2490088,-75.564166
10,la candelaria,luz castro de gutierrez,avenida la playa,busto,2006,luz maria piedrahita,6.2487813,-75.5633457
10,la candelaria,benedikta zur nieden de echavarria,avenida la playa,busto,2006,luz maria piedrahita,6.2487813,-75.5633457
10,la candelaria,fernando gomez martinez,avenida la playa,busto,1999,luz maria piedrahita,6.2487813,-75.5633457
10,la candelaria,marco fidel suarez,avenida la playa,busto,1954,octavio montoya,6.2484696,-75.5629738
10,la candelaria,fidel cano,avenida la playa,busto,1920,francisco antonio cano,6.2484696,-75.5629738
10,la candelaria,manuel uribe angel,avenida la playa,busto,1963,jairo cano echandia,6.2484696,-75.5629738
10,la candelaria,jose maria martinez pardo,avenida la playa,busto,1962,gustavo lopez,6.2484696,-75.5629738
10,la candelaria,madre laura,avenida la playa,busto,2006,carlos mario velez,6.2482933,-75.5623262
10,la candelaria,mariano ospina rodriguez,avenida la playa,busto,1963,jairo cano echandia,6.2481875,-75.5622039
10,la candelaria,bernardo herrera restrepo,avenida la playa,busto,1962,alfonso goez,6.2480616,-75.5614458
10,la candelaria,debora arango perez,avenida la playa,busto,2006,janeth reyes rivera,6.2480048,-75.5613227
10,la candelaria,mister james tyler moore,avenida la playa,busto,1962,gustavo lopez,6.2476734,-75.5609308
10,la candelaria,maria martinez de nisser,avenida la playa,busto,2006,maria raquel sierra varela,6.2478085,-75.560769
10,la candelaria,juan de la cruz gomez plata,avenida la playa,busto,1963,jairo cano echandia,6.2477624,-75.5606882
10,la candelaria,jose felix de restrepo,avenida la playa,busto,1963,octavio montoya,6.2476344,-75.560445
10,la candelaria,jose manuel restrepo,avenida la playa,busto,1963,jairo cano echandia,6.2476344,-75.560445
10,la candelaria,simona duque,avenida la playa,busto,2006,maria raquel sierra varela,6.2475792,-75.5600948
10,la candelaria,juan antonio mon y velarde - avenida de la playa,avenida la playa,busto,1963,octavio montoya,6.2477314,-75.5598618
10,la candelaria,gaspar de rodas,avenida la playa,busto,1963,jairo cano echandia,6.2474359,-75.5598703
10,la candelaria,la bachue,calle 52 con carrera 40,fuente,1954,jose horacio betancur,6.2475357,-75.5598994
10,la candelaria,cacica agrazada,avenida la playa,busto,2006,martha isabela arroyabe ruiz,6.2474735,-75.5595035
10,la candelaria,juan del corral - avenida la playa,avenida la playa,busto,1963,bernardo vieco,6.2474735,-75.5595035
10,la candelaria,cacica dabeiba,afueras del teatro pablo tobon uribe,busto,2006,paula andrea usuga jimenez,6.2476659,-75.5594706
10,la candelaria,maria centeno,afueras del teatro pablo tobon uribe,busto,2006,gloria londoño arango,6.2476659,-75.5594706
10,la candelaria,jorge robledo - avenida la playa,afueras del teatro pablo tobon uribe,busto,1960,constantino carvajal,6.2476659,-75.5594706
10,la candelaria,luis uribe bueno,avenida la playa,busto,2003,diego cano,6.2481802,-75.5613749
10,la candelaria,jesusita vallejo de mora vasquez,avenida la playa,busto,2006,gloria londoño arango,6.2482603,-75.5613743
10,la candelaria,blanca isaza jaramillo meza,avenida la playa,busto,2006,janeth reyes rivera,6.2484689,-75.5612659
10,la candelaria,arbol de la vida - boston,calle 52 con carrera 36,escultura,2012,leobardo perez jimenez,6.2474261,-75.5576255
10,la candelaria,general jose maria cordova,carrera 38 con calle 54,escultura,1957,marco tobon mejia,6.2481596,-75.5577608
10,la candelaria,carlos castro saavedra,carrera 38 con calle 54,busto,1989,oscar rojas,6.248395,-75.5573788
